Fight_ID,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner,Red_profit_on_a_100_credit_winnin_bet,Blue_profit_on_a_100_credit_winnin_bet
2569,Mairbek Taisumov,Alan Patrick,-160,140,Red,62.5,140.0
2570,Alan Omer,Arnold Allen,-165,145,Blue,60.60606061,145.0
2571,Niklas Backstrom,Noad Lahat,-190,165,Blue,52.63157895,165.0
2572,Scott Askham,Antonio Dos Santos,-235,195,Red,42.55319149,195.0
2573,Piotr Hallmann,Magomed Mustafaev,100,-120,Blue,100.0,83.33333333
2574,Taylor Lapilus,Ulka Sasaki,240,-280,Red,240.0,35.71428571
2575,Cain Velasquez,Fabricio Werdum,-460,365,Blue,21.73913043,365.0
2576,Gilbert Melendez,Eddie Alvarez,-170,150,Blue,58.82352941,150.0
2577,Kelvin Gastelum,Nate Marquardt,-500,400,Red,20.0,400.0
2578,Yair Rodriguez,Charles Rosa,155,-175,Red,155.0,57.14285714
2579,Tecia Torres,Angela Hill,-235,195,Red,42.55319149,195.0
2580,Henry Cejudo,Chico Camus,-1275,825,Red,7.843137255,825.0
2581,Efrain Escudero,Drew Dober,120,-140,Red,120.0,71.42857143
2582,Alejandro Perez,Patrick Williams,-160,150,Blue,62.5,150.0
2583,Francisco Trevino,Johnny Case,415,-525,Blue,415.0,19.04761905
2584,Augusto Montano,Cathal Pendred,-110,-110,Blue,90.90909091,90.90909091
2585,Gabriel Benitez,Clay Collard,215,-255,Red,215.0,39.21568627
2586,Tim Boetsch,Dan Henderson,-185,160,Blue,54.05405405,160.0
2587,Ben Rothwell,Matt Mitrione,145,-165,Red,145.0,60.60606061
2588,Dustin Poirier,Yancy Medeiros,-250,230,Red,40.0,230.0
2589,Thiago Tavares,Brian Ortega,-145,125,Blue,68.96551724,125.0
2590,Joe Soto,Anthony Birchak,-200,170,Blue,50.0,170.0
2591,Francisco Rivera,Alex Caceres,-135,125,Red,74.07407407,125.0
2592,Shawn Jordan,Derrick Lewis,-115,-105,Red,86.95652174,95.23809524
2593,Brian Ebersole,Omari Akhmedov,115,-135,Blue,115.0,74.07407407
2594,Chris Wade,Christos Giagos,-170,150,Red,58.82352941,150.0
2595,Joe Proctor,Justin Edwards,-210,175,Red,47.61904762,175.0
2596,Ricardo Abreu,Jake Collier,-175,155,Blue,57.14285714,155.0
2597,Jose Quinonez,Leonardo Morales,150,-170,Red,150.0,58.82352941
2598,Carlos Condit,Thiago Alves,-350,290,Red,28.57142857,290.0
2599,Nik Lentz,Charles Oliveira,225,-265,Blue,225.0,37.73584906
2600,KJ Noons,Alex Oliveira,160,-185,Blue,160.0,54.05405405
2601,Francimar Barroso,Ryan Jimmo,235,-275,Red,235.0,36.36363636
2602,Francisco Trinaldo,Norman Parke,215,-255,Red,215.0,39.21568627
2603,Wendell Oliveira,Darren Till,-130,110,Blue,76.92307692,110.0
2604,Jussier Formiga,Wilson Reis,-105,-115,Red,95.23809524,86.95652174
2605,Elizeu Zaleski dos Santos,Nicolas Dalby,230,-270,Blue,230.0,37.03703704
2606,Lucas Martins,Mirsad Bektic,345,-430,Blue,345.0,23.25581395
2607,Juliana Lima,Ericka Almeida,-170,150,Red,58.82352941,150.0
2608,Luiz Dutra,Tom Breese,135,-155,Blue,135.0,64.51612903
2609,Anthony Johnson,Daniel Cormier,-120,100,Blue,83.33333333,100.0
2610,Chris Weidman,Vitor Belfort,-420,335,Red,23.80952381,335.0
2611,Donald Cerrone,John Makdessi,-700,500,Red,14.28571429,500.0
2612,Travis Browne,Andrei Arlovski,-500,400,Blue,20.0,400.0
2613,Joseph Benavidez,John Moraga,-750,525,Red,13.33333333,525.0
2614,John Dodson,Zach Makovsky,-800,550,Red,12.5,550.0
2615,Dong Hyun Kim,Joshua Burkman,-210,175,Red,47.61904762,175.0
2616,Uriah Hall,Rafael Natal,-420,335,Blue,23.80952381,335.0
2617,Mike Pyle,Colby Covington,265,-325,Blue,265.0,30.76923077
2618,Islam Makhachev,Leo Kuntz,-500,400,Red,20.0,400.0
2619,Justin Scoggins,Joshua Sampo,-500,400,Red,20.0,400.0
2620,Frankie Edgar,Urijah Faber,-550,425,Red,18.18181818,425.0
2621,Gegard Mousasi,Costas Philippou,-800,550,Red,12.5,550.0
2622,Mark Munoz,Luke Barnatt,115,-135,Red,115.0,74.07407407
2623,Hyun Gyu Lim,Neil Magny,105,-125,Blue,105.0,80.0
2624,Phillipe Nover,Yui Chul Nam,135,-155,Red,135.0,64.51612903
2625,Mark Eddiva,Levan Makashvili,320,-390,Blue,320.0,25.64102564
