Fight_ID,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner
3727,Felipe Arantes,Antonio Carvalho,155.0,-165.0,Red
3728,Brock Lesnar,Alistair Overeem,130.0,-140.0,Blue
3729,Nate Diaz,Donald Cerrone,255.0,-280.0,Red
3730,Jon Fitch,Johny Hendricks,-225.0,205.0,Blue
3731,Vladimir Matyushenko,Alexander Gustafsson,300.0,-330.0,Blue
3732,Nam Phan,Jimy Hettes,-165.0,155.0,Blue
3733,Ross Pearson,Junior Assuncao,-325.0,295.0,Red
3734,Anthony Njokuani,Danny Castillo,170.0,-185.0,Blue
3735,Dong Hyun Kim,Sean Pierson,-345.0,315.0,Red
3736,Jacob Volkmann,Efrain Escudero,-265.0,245.0,Red
3737,Manvel Gamburyan,Diego Nunes,195.0,-215.0,Blue
3738,Jon Jones,Lyoto Machida,-475.0,420.0,Red
3739,Frank Mir,Minotauro Nogueira,-210.0,190.0,Red
3740,Tito Ortiz,Rogerio Nogueira,245.0,-265.0,Blue
3741,Claude Patrick,Brian Ebersole,-110.0,100.0,Blue
3742,Mark Hominick,Chan Sung Jung,-560.0,475.0,Blue
3743,Krzysztof Soszynski,Igor Pokrajac,-255.0,235.0,Blue
3744,Jared Hamman,Costas Philippou,-176.0,166.0,Blue
3745,John Makdessi,Dennis Hallman,-152.0,142.0,Blue
3746,Walel Watson,Yves Jabouin,145.0,-155.0,Blue
3747,Mark Bocek,Nik Lentz,-142.0,132.0,Red
3748,Rich Attonito,Jake Hecht,-230.0,210.0,Blue
3749,Mitch Clarke,John Cholish,315.0,-345.0,Blue
3750,Michael Bisping,Jason Miller,-192.0,177.0,Red
3751,Diego Brandao,Dennis Bermudez,-320.0,290.0,Red
3752,TJ Dillashaw,John Dodson,-215.0,195.0,Blue
3753,Tony Ferguson,Yves Edwards,-350.0,318.0,Red
3754,Louis Gaudinot,Johnny Bedford,205.0,-225.0,Blue
3755,Marcus Brimage,Stephen Bass,104.0,-114.0,Red
3756,Dustin Pague,John Albert,-225.0,205.0,Blue
3757,Roland Delorme,Josh Ferguson,-105.0,-115.0,Red
3758,Steven Siler,Josh Clopton,-160.0,150.0,Red
3759,Bryan Caraway,Dustin Neace,-405.0,360.0,Red
3760,Mauricio Rua,Dan Henderson,-153.0,143.0,Blue
3761,Wanderlei Silva,Cung Le,180.0,-220.0,Red
3762,Urijah Faber,Brian Bowles,-174.0,164.0,Red
3763,Rick Story,Martin Kampmann,-110.0,100.0,Blue
3764,Stephan Bonnar,Kyle Kingsbury,138.0,-148.0,Red
3765,Ryan Bader,Jason Brilz,-385.0,345.0,Red
3766,Michael McDonald,Alex Soto,-410.0,365.0,Red
3767,Tom Lawlor,Chris Weidman,300.0,-330.0,Blue
3768,Gleison Tibau,Rafael Dos Anjos,-155.0,145.0,Red
3769,Miguel Torres,Nick Pace,-410.0,365.0,Red
3770,Matt Brown,Seth Baczynski,-135.0,125.0,Blue
3771,Danny Castillo,Shamar Bailey,-375.0,335.0,Red
3772,Cain Velasquez,Junior Dos Santos,-125.0,115.0,Blue
3773,Clay Guida,Benson Henderson,245.0,-265.0,Blue
3774,Dustin Poirier,Pablo Garza,-225.0,205.0,Red
3775,Cub Swanson,Ricardo Lamas,165.0,-175.0,Blue
3776,DaMarques Johnson,Clay Harvison,-260.0,240.0,Red
