Fight_ID,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner,Red_profit_on_a_100_credit_winnin_bet,Blue_profit_on_a_100_credit_winnin_bet
67,Allen Crowder,Jairzinho Rozenstruik,190.0,-230.0,Blue,Thomas Almeida,Jonathan Martinez,-139.0,110.0,Blue,71.94244604,110.0
68,Ariane Lipski,Molly McCann,-255.0,215.0,Blue,Mateusz Gamrot,Guram Kutateladze,-335.0,245.0,Blue,29.85074627,245.0
69,Deron Winn,Eric Spicely,-360.0,300.0,Red,Gillian Robertson,Poliana Botelho,-215.0,169.0,Red,46.51162791,169.0
70,Jon Jones,Thiago Santos,-670.0,485.0,Red,Junyong Park,John Phillips,-278.0,215.0,Red,35.97122302,215.0
71,Amanda Nunes,Holly Holm,-360.0,300.0,Red,Jamie Mullarkey,Fares Ziam,-137.0,110.0,Blue,72.99270073,110.0
72,Jorge Masvidal,Ben Askren,180.0,-220.0,Red,Gadzhimurad Antigulov,Maxim Grishin,277.0,-375.0,Blue,277.0,26.66666667
73,Jan Blachowicz,Luke Rockhold,220.0,-260.0,Red,Said Nurmagomedov,Mark Striegl,-435.0,317.0,Red,22.98850575,317.0
74,Diego Sanchez,Michael Chiesa,315.0,-380.0,Blue,Marlon Moraes,Cory Sandhagen,115.0,-141.0,Blue,115.0,70.92198582
75,Gilbert Melendez,Arnold Allen,260.0,-320.0,Blue,Edson Barboza,Makwan Amirkhani,-286.0,225.0,Red,34.96503497,225.0
76,Marlon Vera,Nohelin Hernandez,-470.0,375.0,Red,Ben Rothwell,Marcin Tybura,-159.0,130.0,Blue,62.89308176,130.0
77,Caludia Gadelha,Randa Markos,-200.0,170.0,Red,Markus Perez,Dricus Du Plessis,133.0,-167.0,Blue,133.0,59.88023952
78,Alejandro Perez,Song Yadong,185.0,-225.0,Blue,Tom Aspinall,Alan Baudot,-560.0,400.0,Red,17.85714286,400.0
79,Edmen Shahbazyan,Jack Marshman,-570.0,480.0,Red,Youssef Zalal,Ilia Topuria,-162.0,130.0,Blue,61.72839506,130.0
80,Ismail Naurdiev,Chance Rencountre,-570.0,435.0,Blue,Tom Breese,KB Bhullar,-275.0,210.0,Red,36.36363636,210.0
81,Julia Avila,Pannie Kianzad,-250.0,210.0,Red,Chris Daukaus,Rodrigo Nascimento,205.0,-265.0,Red,205.0,37.73584906
82,Corey Anderson,Jan Blachowicz,-235.0,195.0,Blue,Impa Kasanganay,Joaquin Buckley,-265.0,200.0,Blue,37.73584906,200.0
83,Diego Sanchez,Michel Pereira,135.0,-155.0,Red,Ali AlQaisi,Tony Kelley,190.0,-245.0,Blue,190.0,40.81632653
84,Montana De La Rosa,Mara Romero Borella,-175.0,155.0,Red,Giga Chikadze,Omar Morales,136.0,-175.0,Red,136.0,57.14285714
85,Brok Weaver,Kazula Vargas,-270.0,230.0,Red,Tracy Cortez,Stephanie Egger,-205.0,160.0,Red,48.780487799999996,160.0
86,Rogerio Bontorin,Ray Borg,130.0,-150.0,Blue,Bruno Silva,Tagir Ulanbekov,321.0,-455.0,Blue,321.0,21.97802198
87,Lando Vannata,Yancy Medeiros,-120.0,100.0,Red,Holly Holm,Irene Aldana,-125.0,103.0,Red,80.0,103.0
88,Tim Means,Daniel Rodriguez,-345.0,285.0,Blue,Yorgan De Castro,Carlos Felipe,-265.0,205.0,Blue,37.73584906,205.0
89,John Dodson,Nathaniel Wood,130.0,-150.0,Red,Germaine de Randamie,Julianna Pena,-150.0,122.0,Red,66.66666667,122.0
90,Jim Miller,Scott Holtzman,115.0,-135.0,Blue,Kyler Phillips,Cameron Else,-480.0,342.0,Red,20.83333333,342.0
91,Devin Clark,Dequan Townsend,-400.0,325.0,Red,Dequan Townsend,Dusko Todorovic,245.0,-335.0,Blue,245.0,29.85074627
92,Casey Kenney,Merab Dvalishvili,150.0,-170.0,Blue,Carlos Condit,Court McGee,111.0,-137.0,Red,111.0,72.99270073
93,Macy Chiasson,Shanna Young,-800.0,550.0,Red,Jordan Williams,Nassourdine Imavov,-125.0,105.0,Blue,80.0,105.0
94,Mark De La Rosa,Raulian Paiva,205.0,-245.0,Blue,Loma Lookboonmee,Jinh Yu Frey,-150.0,120.0,Red,66.66666667,120.0
95,Germaine De Randamie,Aspen Ladd,100.0,-120.0,Red,Casey Kenney,Heili Alateng,-335.0,246.0,Red,29.85074627,246.0
96,Urijah Faber,Ricky Simon,320.0,-355.0,Red,Luigi Vendramini,Jessin Ayari,-109.0,-114.0,Red,91.74311927,87.71929825
97,Josh Emmett,Mirsad Bektic,150.0,-170.0,Red,Israel Adesanya,Paulo Costa,-186.0,151.0,Red,53.76344086,151.0
98,Karl Roberson,Wellington Turman,-220.0,180.0,Red,Dominick Reyes,Jan Blachowicz,-265.0,215.0,Blue,37.73584906,215.0
99,Marvin Vettori,Cezar Ferreira,-220.0,180.0,Red,Kai Kara-France,Brandon Royval,-240.0,188.0,Blue,41.66666667,188.0
100,Andre Fili,Sheymon Moraes,-160.0,140.0,Red,Ketlen Vieira,Sijara Eubanks,-190.0,150.0,Red,52.63157895,150.0
101,Julianna Pena,Nicco Montano,-250.0,210.0,Red,Hakeem Dawodu,Zubaira Tukhugov,115.0,-143.0,Red,115.0,69.93006993
102,Darren Elkins,Ryan Hall,-115.0,-105.0,Blue,Brad Riddell,Alex Da Silva,-335.0,253.0,Red,29.85074627,253.0
103,Liu Pingyuan,Jonathan Martinez,-220.0,180.0,Blue,Diego Sanchez,Jake Matthews,470.0,-715.0,Blue,470.0,13.98601399
104,Livinha Souza,Brianna Van Buren,-115.0,-105.0,Blue,Shane Young,Ludovit Klein,108.0,-129.0,Blue,108.0,77.51937984
105,Benito Lopez,Vince Morales,-105.0,-105.0,Red,William Knight,Aleksa Camur,134.0,-167.0,Red,134.0,59.88023952
106,Rafael Dos Anjos,Leon Edwards,-110.0,-110.0,Blue,Juan Espino,Jeff Hughes,-305.0,233.0,Red,32.78688525,233.0
107,Aleksei Oleinik,Walt Harris,130.0,-150.0,Blue,Khadis Ibragimov,Danilo Marques,-182.0,150.0,Blue,54.94505495,150.0
108,Greg Hardy,Juan Adams,-105.0,-115.0,Red,Colby Covington,Tyron Woodley,-335.0,260.0,Red,29.85074627,260.0
109,James Vick,Dan Hooker,105.0,-125.0,Blue,Khamzat Chimaev,Gerald Meerschaert,-400.0,300.0,Red,25.0,300.0
110,Alexander Hernandez,Francisco Trinaldo,-250.0,210.0,Red,Johnny Walker,Ryan Spann,-125.0,100.0,Red,80.0,100.0
111,Andrei Arlovski,Ben Rothwell,155.0,-175.0,Red,Mackenzie Dern,Randa Markos,-177.0,140.0,Red,56.49717514,140.0
112,Alex Caceres,Steven Peterson,-115.0,-105.0,Red,Kevin Holland,Darren Stewart,-265.0,205.0,Red,37.73584906,205.0
113,Raquel Pennington,Irene Aldana,115.0,-135.0,Red,Jordan Espinosa,David Dvorak,-112.0,-112.0,Blue,89.28571429,89.28571429
114,Sam Alvey,Klidson Abreu,145.0,-165.0,Blue,Mirsad Bektic,Damon Jackson,-375.0,277.0,Blue,26.66666667,277.0
115,Roxanne Modafferi,Jennifer Maia,110.0,-130.0,Blue,Mayra Bueno Silva,Mara Romero Borella,-275.0,210.0,Red,36.36363636,210.0
116,Ray Borg,Gabriel Silva,-185.0,160.0,Red,Jessica-Rose Clark,Sarah Alpar,-230.0,180.0,Red,43.47826087,180.0
117,Mario Bautista,Jin Soo Son,150.0,-170.0,Red,Darrick Minner,TJ Laramie,245.0,-335.0,Red,245.0,29.85074627
118,Domingo Pilarte,Felipe Colares,-400.0,325.0,Blue,Journey Newson,Randy Costa,-137.0,110.0,Blue,72.99270073,110.0
119,Max Holloway,Frankie Edgar,-335.0,275.0,Red,Andre Ewell,Irwin Rivera,-240.0,187.0,Red,41.66666667,187.0
120,Cris Cyborg,Felicia Spencer,-380.0,315.0,Red,Tyson Nam,Jerome Rivera,-190.0,150.0,Red,52.63157895,150.0
121,Geoff Neal,Niko Price,-335.0,275.0,Red,Michelle Waterson,Angela Hill,105.0,-125.0,Red,105.0,80.0
122,Olivier Aubin-Mercier,Arman Tsarukyan,145.0,-165.0,Blue,Ottman Azaitar,Khama Worthy,110.0,-137.0,Red,110.0,72.99270073
123,Marc-Andre Barriault,Krzystof Jotko,145.0,-165.0,Blue,Roxanne Modafferi,Andrea Lee,240.0,-335.0,Red,240.0,29.85074627
124,Alexis Davis,Viviane Araujo,165.0,-190.0,Blue,Ed Herman,Mike Rodriguez,195.0,-250.0,Red,195.0,40.0
125,Hakeem Dawodu,Yoshinori Horie,-440.0,350.0,Red,Billy Quarantillo,Kyle Nelson,-250.0,195.0,Red,40.0,195.0
126,Gavin Tucker,Seungwoo Choi,120.0,-140.0,Red,Julia Avila,Sijara Eubanks,-305.0,230.0,Blue,32.78688525,230.0
127,Alexandre Pantoja,Deiveson Figueiredo,-140.0,120.0,Blue,Roosevelt Roberts,Kevin Croom,-385.0,286.0,Blue,25.97402597,286.0
128,Gillian Robertson,Sarah Frota,-150.0,130.0,Red,Alexandr Romanov,Roque Martinez,-360.0,275.0,Red,27.77777778,275.0
129,Erik Koch,Kyle Stewart,-140.0,120.0,Red,Bobby Green,Alan Patrick,-295.0,227.0,Red,33.89830508,227.0
130,Colby Covington,Robbie Lawler,-300.0,250.0,Red,Brok Weaver,Jalin Turner,306.0,-420.0,Blue,306.0,23.80952381
131,Jim Miller,Clay Guida,-140.0,130.0,Red,Bryan Barberena,Anthony Ivy,-278.0,215.0,Red,35.97122302,215.0
132,Joaquim Silva,Nasrat Haqparast,315.0,-380.0,Blue,Sabina Mazo,Justine Kish,-265.0,200.0,Red,37.73584906,200.0
133,Trevin Giles,Gerald Meerschaert,-170.0,150.0,Blue,Alistair Overeem,Augusto Sakai,-159.0,130.0,Red,62.89308176,130.0
134,Scott Holtzman,Dong Hyun Ma,-390.0,320.0,Red,Ovince Saint Preux,Alonzo Menifield,110.0,-134.0,Red,110.0,74.62686567
135,Darko Stosic,Kennedy Nzechukwu,-120.0,100.0,Blue,Michel Pereira,Zelim Imadaev,-112.0,-112.0,Red,89.28571429,89.28571429
136,Mickey Gall,Salim Touahri,100.0,-120.0,Red,Brian Kelleher,Ray Rodriguez,-380.0,315.0,Red,26.31578947,315.0
137,Antonina Shevchenko,Lucie Pudilova,-160.0,140.0,Red,Andre Muniz,Bartosz Fabinski,132.0,-165.0,Red,132.0,60.60606061
138,Jordan Espinosa,Matt Schnell,-155.0,145.0,Blue,Viviane Araujo,Montana De La Rosa,-182.0,145.0,Red,54.94505495,145.0
139,Lauren Murphy,Mara Romero Borella,180.0,-220.0,Red,Cole Smith,Hunter Azure,185.0,-235.0,Blue,185.0,42.55319149
140,Claudio Silva,Cole Williams,-550.0,425.0,Red,Anthony Smith,Aleksandar Rakic,225.0,-278.0,Blue,225.0,35.97122302
141,Miranda Granger,Hannah Goldy,-105.0,-115.0,Red,Robbie Lawler,Neil Magny,200.0,-250.0,Blue,200.0,40.0
142,Jon Jones,Dominick Reyes,-460.0,365.0,Red,Ji Yeon Kim,Alexa Grasso,230.0,-315.0,Blue,230.0,31.74603175
143,Valentina Shevchenko,Katlyn Chookagian,-920.0,610.0,Red,Ricardo Lamas,Bill Algeo,-335.0,240.0,Red,29.85074627,240.0
144,Juan Adams,Justin Tafa,-240.0,200.0,Blue,Maki Pitolo,Impa Kasanganay,115.0,-139.0,Blue,115.0,71.94244604
145,Mirsad Bektic,Dan Ige,-125.0,105.0,Blue,Mallory Martin,Hannah Cifers,-315.0,239.0,Red,31.74603175,239.0
146,Derrick Lewis,Ilir Latifi,-225.0,185.0,Red,Alessio Di Chirico,Zak Cummings,-114.0,-109.0,Blue,87.71929825,91.74311927
147,Trevin Giles,James Krause,-170.0,130.0,Red,Alex Caceres,Austin Springer,-225.0,176.0,Red,44.44444444,176.0
148,Alex Morono,Kalinn Williams,-345.0,285.0,Blue,Polyana Viana,Emily Whitmire,110.0,-139.0,Red,110.0,71.94244604
149,Lauren Murphy,Andrea Lee,260.0,-320.0,Red,Sean Brady,Christian Aguilera,-455.0,330.0,Red,21.97802198,330.0
150,Miles Johns,Mario Bautista,-132.0,112.0,Blue,Pedro Munhoz,Frankie Edgar,-278.0,225.0,Blue,35.97122302,225.0
151,Domingo Pilarte,Journey Newson,-125.0,105.0,Blue,Marcin Prachnio,Mike Rodriguez,188.0,-240.0,Blue,188.0,41.66666667
152,Andre Ewell,Jonathan Martinez,-133.0,113.0,Red,Mariya Agapova,Shana Dobson,-1430.0,750.0,Blue,6.993006993,750.0
153,Austin Lingo,Youssef Zalel,-210.0,175.0,Blue,Daniel Rodriguez,Dwight Grant,-230.0,180.0,Red,43.47826087,180.0
154,Valentina Shevchenko,Liz Carmouche,-1100.0,700.0,Red,Amanda Lemos,Mizuki Inoue,110.0,-137.0,Red,110.0,72.99270073
155,Vincente Luque,Mike Perry,-250.0,210.0,Red,Austin Hubbard,Joe Solecki,-112.0,-112.0,Blue,89.28571429,89.28571429
156,Luiz Garagorri,Humberto Bandenay,-145.0,125.0,Red,Ike Villanueva,Jordan Wright,104.0,-129.0,Blue,104.0,77.51937984
157,Volkan Oezdemir,Ilir Latifi,-190.0,165.0,Red,Carlton Minus,Matthew Semelsberger,-118.0,-106.0,Blue,84.74576271,94.33962264
158,Rodolfo Vieira,Oskar Piechota,-225.0,185.0,Red,Timur Valiev,Trevin Jones,-560.0,387.0,Blue,17.85714286,387.0
159,Enrique Barzola,Bobby Moffett,-165.0,145.0,Red,Stipe Miocic,Daniel Cormier,-106.0,-112.0,Red,94.33962264,89.28571429
160,Gilbert Burns,Aleksei Kunchenko,120.0,-140.0,Red,Sean O'Malley,Marlon Vera,-305.0,240.0,Blue,32.78688525,240.0
161,Ciryl Gane,Raphael Pessoa Nunes,-470.0,375.0,Red,Junior Dos Santos,Jairzinho Rozenstruik,115.0,-143.0,Blue,115.0,69.93006993
162,Tecia Torres,Marina Rodriguez,-160.0,140.0,Blue,John Dodson,Merab Dvalishvili,188.0,-240.0,Blue,188.0,41.66666667
163,Rogerio Bontorin,Raulian Paiva,100.0,-120.0,Red,Jim Miller,Vinc Pichel,100.0,-124.0,Blue,100.0,80.64516129
164,Geraldo de Freitas,Chris Gutierrez,-175.0,155.0,Blue,Ashley Yoder,Livinha Souza,130.0,-162.0,Blue,130.0,61.72839506
165,Kazula Vargas,Alex Da Silva,240.0,-280.0,Blue,Felice Herrig,Virna Jandiroba,240.0,-315.0,Blue,240.0,31.74603175
166,Veronica Macedo,Polyana Viana,-130.0,110.0,Red,Herbert Burns,Daniel Pineda,-286.0,225.0,Blue,34.96503497,225.0
167,Daniel Cormier,Stipe Miocic,-145.0,125.0,Blue,TJ Brown,Danny Chavez,-167.0,130.0,Blue,59.88023952,130.0
168,Anthony Pettis,Nate Diaz,-120.0,100.0,Blue,Chris Daukaus,Parker Porter,-106.0,-118.0,Red,94.33962264,84.74576271
169,Yoel Romero,Paulo Costa,-165.0,145.0,Blue,Derrick Lewis,Aleksei Oleinik,-200.0,160.0,Red,50.0,160.0
170,Gabriel Benitez,Sodiq Yusuff,235.0,-275.0,Blue,Omari Akhmedov,Chris Weidman,115.0,-141.0,Blue,115.0,70.92198582
171,Derek Brunson,Ian Heinisch,140.0,-160.0,Red,Maki Pitolo,Darren Stewart,125.0,-155.0,Blue,125.0,64.51612903
172,Devonte Smith,Khama Worthy,-1000.0,650.0,Blue,Yana Kunitskaya,Julija Stoliarenko,-190.0,150.0,Red,52.63157895,150.0
173,Raphael Assuncao,Cory Sandhagen,220.0,-260.0,Blue,Beneil Dariush,Scott Holtzman,-200.0,160.0,Red,50.0,160.0
174,Christos Giagos,Drakkar Klose,165.0,-190.0,Blue,Tim Means,Laureano Staropoli,120.0,-150.0,Red,120.0,66.66666667
175,Manny Bermudez,Casey Kenney,-170.0,150.0,Blue,Kevin Holland,Joaquin Buckley,-455.0,333.0,Red,21.97802198,333.0
176,Hannah Cifers,Jodie Esquibel,-290.0,245.0,Red,Nasrat Haqparast,Alex Munoz,-240.0,188.0,Red,41.66666667,188.0
177,Kyung Ho Kang,Brandon Davis,-190.0,165.0,Red,Andrew Sanchez,Wellington Turman,130.0,-162.0,Red,130.0,61.72839506
178,Sabina Mazo,Shana Dobson,-145.0,125.0,Red,Gavin Tucker,Justin Jaynes,-139.0,112.0,Red,71.94244604,112.0
179,Jessica Andrade,Zhang Weili,-200.0,170.0,Blue,Youssef Zalal,Peter Barrett,-480.0,340.0,Red,20.83333333,340.0
180,Li Jingliang,Elizeu Dos Santos,215.0,-255.0,Red,Irwin Rivera,Ali Qaisi,-186.0,148.0,Red,53.76344086,148.0
181,Kai Kara-France,Mark De La Rosa,-185.0,160.0,Red,Derek Brunson,Edmen Shahbazyan,275.0,-360.0,Red,275.0,27.77777778
182,Song Kenan,Derrick,-110.0,-110.0,Red,Joanne Calderwood,Jennifer Maia,-162.0,130.0,Blue,61.72839506,130.0
183,Wu Yanan,Mizuki Inoue,150.0,-170.0,Blue,Vicente Luque,Randy Brown,-200.0,160.0,Red,50.0,160.0
